ID,Gender,MP1,MP2,MP3,MP4,Regents Score,Course,Race
216878447,M,68.76,65.5,63.78,63.78,28,chemistry,Hispanic or Latinx
220115299,F,78.2,78.45,82.71,82.71,30,physics,White
208999573,M,69.36,51.16,53.52,53.58,31,earth,Asian or Pacific Islander
217115575,M,61.25,62.18,58.02,58.11,31,earth,Hispanic or Latinx
214485898,F,57.47,55.53,59.07,59.07,32,chemistry,Hispanic or Latinx
214676892,M,61.42,58.93,61.73,61.73,32,chemistry,Hispanic or Latinx
208691774,M,60.67,62.29,58.91,58.91,34,alg2,Black
216128728,F,77.27,61.82,61.36,61.36,34,earth,Hispanic or Latinx
215578295,M,57.8,60.81,62.27,62.27,36,chemistry,Hispanic or Latinx
216236802,M,64.75,64.5,67.7,67.7,36,geometry,Black
216517144,M,74.26,74.8,76.06,76.06,37,chemistry,Hispanic or Latinx
215216052,F,45,45.24,47.52,47.52,37,alg2,Hispanic or Latinx
209898436,M,60.7,67.68,65.92,65.92,39,chemistry,Hispanic or Latinx
216091959,M,77.83,73.36,64.77,64.77,39,alg1,Hispanic or Latinx
216443549,F,63.35,66.63,69.58,69.58,39,geometry,Black
215386889,M,59.33,52.96,54.88,54.88,39,alg2,Hispanic or Latinx
217115575,M,64.02,68.07,69.45,69.45,40,ela,Hispanic or Latinx
215298001,M,66.5,60,56.58,56.58,41,ush,Hispanic or Latinx
217443183,F,79.21,69.18,68.52,68.52,41,chemistry,Hispanic or Latinx
215615204,M,71.7,67.93,71.22,71.22,41,geometry,Hispanic or Latinx
214441768,M,59,60.33,56.58,56.58,41,geometry,
214434540,M,67.71,54.45,63.95,63.95,41,living,White
217021724,M,52.07,51.49,53.8,53.8,42,ela,Hispanic or Latinx
215512013,M,,,68.63,68.63,42,alg1,
220529432,M,71.5,58.07,59.47,59.47,42,alg2,Asian
216128728,F,45,45,53.4,53.4,42,alg2,Hispanic or Latinx
215313099,M,65.02,62.63,65.19,65.19,43,chemistry,Hispanic or Latinx
214676892,M,63,63,59.57,59.57,43,geometry,Hispanic or Latinx
214441768,M,47.29,44.95,45.59,45.59,44,global,
217453505,M,83.36,81.22,68.27,68.27,44,alg1,Hispanic or Latinx
214534000,M,64.33,61.96,53.87,53.87,44,alg2,Hispanic or Latinx
214526154,M,59.67,51.56,51.62,51.62,44,alg2,
205740780,F,67.71,56.97,56.62,56.67,44,earth,Hispanic or Latinx
215316498,M,63.69,63.93,62.33,62.33,45,chemistry,Hispanic or Latinx
214526154,M,63.36,63.66,63.6,63.6,45,chemistry,
214583395,F,65.9,64.09,65.06,65.06,45,chemistry,Hispanic or Latinx
214534109,M,75.94,68.79,69.48,69.48,45,chemistry,Hispanic or Latinx
217000009,M,100,73.15,64.63,64.63,45,geometry,Hispanic or Latinx
217115575,M,60.75,63.83,61.17,61.17,45,geometry,Hispanic or Latinx
227631124,F,54.91,55.16,55.92,55.92,45,living,
215767948,M,64.42,64.18,66.92,66.92,45,living,
215057035,M,52.5,55.18,50.95,50.95,46,ush,White
220826358,M,65.87,61.31,59.26,59.26,46,global,Hispanic or Latinx
214621054,M,85.17,74.54,66.72,66.72,46,alg2,Hispanic or Latinx
215430869,M,52.11,59.1,61.76,61.76,47,chemistry,Hispanic or Latinx
214534000,M,64.76,61.9,63.36,63.36,47,chemistry,Hispanic or Latinx
214621054,M,61.92,64.73,67.21,67.21,47,chemistry,Hispanic or Latinx
215176983,F,97.4,97.8,96.43,96.43,47,physics,White
216927640,M,53.57,61.6,57.72,57.72,47,geometry,Asian
214526840,F,66.75,65.13,66.94,66.94,48,chemistry,White
207293945,F,85.14,76.51,77.47,77.47,48,chemistry,Hispanic or Latinx
227631124,F,56.66,59.22,63.3,63.3,48,alg1,
215324336,F,76.45,74.83,70.02,70.02,49,ush,Asian
217115575,M,66.87,65.91,62.6,62.6,49,global,Hispanic or Latinx
216128801,M,82.4,85.03,73.47,73.47,49,physics,Hispanic or Latinx
220216873,M,83.65,77.83,78.68,78.68,49,geometry,Asian
215364704,M,63,64.5,66.9,66.9,49,geometry,Hispanic or Latinx
240873893,M,65.4,63.7,61.83,61.83,49,geometry,Asian
215943648,M,77.6,72.8,69.3,69.3,49,geometry,
226312866,M,55,75.62,60.86,60.86,49,alg2,Hispanic or Latinx
209898436,M,66.92,54.28,58.95,58.95,49,alg2,Hispanic or Latinx
215266784,M,66.17,66.13,54.01,54.01,49,alg2,Native Hawaiian or Pacific Islander
215578295,M,57.83,58.1,52.34,52.34,49,alg2,Hispanic or Latinx
215015082,M,76.08,62.93,67.52,67.52,49,alg2,Hispanic or Latinx
208817098,M,71,56.86,55.28,55.28,49,alg2,Hispanic or Latinx
215941683,F,69.17,67.7,72.01,72.01,49,living,Hispanic or Latinx
220826358,M,64.54,62.22,66.02,66.02,49,living,Hispanic or Latinx
215996018,F,69.5,70.17,58.18,58.18,50,ush,Hispanic or Latinx
208691774,M,59.43,62.4,63.81,63.81,50,chemistry,Black
248235731,M,45,48.06,68.41,68.41,50,alg1,Asian
226312866,M,60.74,62.25,65.15,65.15,51,chemistry,Hispanic or Latinx
214526691,M,69.28,68.18,66.58,66.58,51,chemistry,Hispanic or Latinx
205969975,M,69.67,66.27,67.28,67.28,51,chemistry,Hispanic or Latinx
209506633,F,88.25,82.49,83.32,83.32,51,chemistry,Hispanic or Latinx
214534026,M,61.86,63.25,66.13,66.13,51,chemistry,
215009242,F,91.9,91.38,90.16,90.16,51,physics,Asian or Pacific Islander
219979333,M,66.85,63.13,62.07,62.07,51,geometry,Hispanic or Latinx
214664377,M,89.67,72.17,75.56,75.56,51,alg2,Hispanic or Latinx
215176983,F,97.33,74.7,71.88,71.88,51,alg2,White
214381196,M,62.84,68.26,70.79,70.79,52,chemistry,Hispanic or Latinx
221463706,F,90.43,84.43,83.04,83.04,52,chemistry,White
214441768,M,66.14,58.53,53.15,53.15,52,ela,
214434540,M,74.7,63.98,70.68,70.68,52,alg1,White
217271188,M,57.99,63.77,56.42,56.42,52,alg1,Black
209506633,F,83.25,69.88,68.05,68.05,52,alg2,Hispanic or Latinx
215313099,M,72.92,59.73,57.51,57.51,52,alg2,Hispanic or Latinx
219626835,F,90.25,96.14,76.1,76.1,52,alg2,Hispanic or Latinx
220529432,M,69.54,64.58,64.67,64.67,52,earth,Asian
208999573,M,73.58,72.92,65.3,65.3,53,ush,Asian or Pacific Islander
215015082,M,67.17,73.76,72.6,72.6,53,chemistry,Hispanic or Latinx
217021724,M,54.35,54.17,52.53,52.53,53,global,Hispanic or Latinx
