Course/exam,TermCD,SchoolYear,CourseSchoolDBN,Table,CourseTitle,Mark,Mark,NumericEquivalent,Credits,CreditEarned,CreditEarned,Term Average Display,Credits Total,Credit Earned Total,Credits Average,StudentID,Credits Total,Credit Earned Total,Cumulative Term Average1,Credits Average
Course,1,2019,30Q258,EES21,Capstone,90, ,90,1,0,1,,,,,,,,,
Course,1,2019,30Q258,FSS63X**,AP Spanish Language ,90, ,90,1,0,1,,,,,,,,,
Course,1,2019,30Q258,FSS64X**,AP Spanish Language ,90, ,90,1,0,1,,,,,,,,,
Course,1,2019,30Q258,HES11,ECONOMICS,87, ,87,1,0,1,,,,,,,,,
Course,1,2019,30Q258,MQS11U**,MAT 115 - College Al,B-, ,83,1,0,1,,,,,,,,,
Course,1,2019,30Q258,PHS11,HEALTH,100, ,100,1,0,1,,,,,,,,,
Course,1,2019,30Q258,PPS87,PHYS ED,87, ,87,0.5,0,0.5,,,,,,,,,
Course,1,2019,30Q258,RQS43T,Technology & Sustain,87, ,87,0.5,0,0.5,,,,,,,,,
Course,1,2019,30Q258,SKS21XA,AP Computer Science ,88, ,88,1,0,1,92.6625,8,8,8,,,,,
Course,2,2018,30Q258,EES88X,AP English Language ,87, ,87,1,0,1,,,,,,,,,
Course,2,2018,30Q258,FSS62QA,Heritage Spanish 2,96, ,96,1,0,1,,,,,,,,,
Course,2,2018,30Q258,HUS22,US HISTORY 2 OF 2,87, ,87,1,0,1,,,,,,,,,
Course,2,2018,30Q258,MRS22,ALGEBRA 2 / TRIG 2 O,95, ,95,1,0,1,,,,,,,,,
Course,2,2018,30Q258,PPS86,PHYS ED,91, ,91,0.5,0,0.5,,,,,,,,,
Course,2,2018,30Q258,RQS42T,College and Career F,100, ,100,0.5,0,0.5,,,,,,,,,
Course,2,2018,30Q258,SKS22,Science of Robotics ,95, ,95,0.5,0,0.5,,,,,,,,,
Course,2,2018,30Q258,SPS22,PHYSICS  2 OF 2,95, ,95,1,0,1,,,,,,,,,
Course,2,2018,30Q258,SPS22QL,PHYSICS LAB 2 OF 2,P,*,,0,0,0,,,,,,,,,
Course,2,2018,30Q258,TQS22,Robotics Fabrication,95, ,95,1,0,1,93.06666667,7.5,7.5,7.5,,,,,
Course,1,2018,30Q258,EES87X,AP English Language ,95, ,95,1,0,1,,,,,,,,,
Course,1,2018,30Q258,FSS61QA,Heritage Spanish 1,93, ,93,1,0,1,,,,,,,,,
Course,1,2018,30Q258,HUS21,US HISTORY 1 OF 2,86, ,86,1,0,1,,,,,,,,,
Course,1,2018,30Q258,MRS21,ALGEBRA 2 / TRIG 1 O,93, ,93,1,0,1,,,,,,,,,
Course,1,2018,30Q258,PPS85,PHYS ED,96, ,96,0.5,0,0.5,,,,,,,,,
Course,1,2018,30Q258,RQS41T,College and Career F,95, ,95,0.5,0,0.5,,,,,,,,,
Course,1,2018,30Q258,SKS21,Science of Robotics,92, ,92,0.5,0,0.5,,,,,,,,,
Course,1,2018,30Q258,SPS21,PHYSICS  1 OF 2,90, ,90,1,0,1,,,,,,,,,
Course,1,2018,30Q258,SPS21QL,PHYSICS  LAB 1 OF 2,P,*,,0,0,0,,,,,,,,,
Course,1,2018,30Q258,TQS11U,MAE109 - Introductio,A, ,95,1,0,1,92.46666667,7.5,7.5,7.5,,,,,
Course,2,2017,30Q258,CHS22,Greek Theater II,95, ,95,0.5,0,0.5,,,,,,,,,
Course,2,2017,30Q258,EES86,ENGLISH 11 2 OF 2,94, ,94,1,0,1,,,,,,,,,
Course,2,2017,30Q258,HBS11U,HUP 102 Critical Thi,A-, ,93,0.5,0,0.5,,,,,,,,,
Course,2,2017,30Q258,HGS43,GLOBAL STUDIES 10 1 ,90, ,90,1,0,1,,,,,,,,,
Course,2,2017,30Q258,HGS44,GLOBAL STUDIES 10 2 ,90, ,90,1,0,1,,,,,,,,,
Course,2,2017,30Q258,MGS22,CC Geometry 2 of 2,88, ,88,1,0,1,,,,,,,,,
Course,2,2017,30Q258,PPS84,PHYS ED,90, ,90,0.5,0,0.5,,,,,,,,,
Course,2,2017,30Q258,RVS22T,Engineering in the W,94, ,94,1,0,1,,,,,,,,,
Course,2,2017,30Q258,SCS22,CHEMISTRY 2 OF 2,90, ,90,1,0,1,,,,,,,,,
Course,2,2017,30Q258,SCS22QL,CHEMISTRY LAB 2 OF 2,P,*,,0,0,0,91.33333333,7.5,7.5,7.5,,,,,
Course,1,2017,30Q258,CHS21,Greek Theater I,92, ,92,0.5,0,0.5,,,,,,,,,
Course,1,2017,30Q258,EES85,ENGLISH 11 1 OF 2,91, ,91,1,0,1,,,,,,,,,
Course,1,2017,30Q258,HGS41,GLOBAL STUDIES 9 1 O,92, ,92,1,0,1,,,,,,,,,
Course,1,2017,30Q258,HGS42,GLOBAL STUDIES 9 2 O,91, ,91,1,0,1,,,,,,,,,
Course,1,2017,30Q258,MGS21,CC Geometry 1 of 2,94, ,94,1,0,1,,,,,,,,,
Course,1,2017,30Q258,PPS83,PHYS ED,90, ,90,0.5,0,0.5,,,,,,,,,
Course,1,2017,30Q258,RVS21T,Engineering in the W,96, ,96,1,0,1,,,,,,,,,
Course,1,2017,30Q258,SCS21,CHEMISTRY 1 OF 2,95, ,95,1,0,1,,,,,,,,,
Course,1,2017,30Q258,SCS21QL,CHEMISTRY LAB 1 OF 2,P,*,,0,0,0,92.85714286,7,7,7,,,,,
Course,2,2016,30Q258,ANS21,STUDIO ART I 1 of 2,83, ,83,1,0,1,,,,,,,,,
Course,2,2016,30Q258,EES83,ENGLISH 10 1 OF 2,86, ,86,1,0,1,,,,,,,,,
Course,2,2016,30Q258,EES84,ENGLISH 10 2 OF 2,86, ,86,1,0,1,,,,,,,,,
Course,2,2016,30Q258,MES22,CC Algebra I 2 of 2,92, ,92,1,0,1,,,,,,,,,
Course,2,2016,30Q258,PPS82,PHYS ED,81, ,81,0.5,0,0.5,,,,,,,,,
Course,2,2016,30Q258,SLS22,LIVING ENV 2 OF 2,86, ,86,1,0,1,,,,,,,,,
Course,2,2016,30Q258,SLS22QL,LIVING ENV LAB 2 OF ,P,*,,0,0,0,,,,,,,,,
Course,2,2016,30Q258,SQS22T,ENGINEERING FOUNDATI,89, ,89,1,0,1,86.53846154,6.5,6.5,6.5,,,,,
Course,1,2016,30Q258,EES81,ENGLISH 9 1 OF 2,83, ,83,1,0,1,,,,,,,,,
Course,1,2016,30Q258,EES82,ENGLISH 9 2 OF 2,83, ,83,1,0,1,,,,,,,,,
Course,1,2016,30Q258,MES21,CC Algebra I 1 of 2,93, ,93,1,0,1,,,,,,,,,
Course,1,2016,30Q258,PPS81,PHYS ED,90, ,90,0.5,0,0.5,,,,,,,,,
Course,1,2016,30Q258,RZS21T,WORK BASED LEARNING ,97, ,97,1,0,1,,,,,,,,,
Course,1,2016,30Q258,SLS21,LIVING ENV 1 OF 2,87, ,87,1,0,1,,,,,,,,,
Course,1,2016,30Q258,SLS21QL,LIVING ENV 1 LAB 1 O,P,*,,0,0,0,,,,,,,,,
Course,1,2016,30Q258,SQS21T,ENGINEERING FOUNDATI,97, ,97,1,0,1,90,6.5,6.5,6.5,,,,,
Exam  ,2,2018,30Q258,HXRUE ,USHIST REG JUNE,90,*,90,0,0,0,,,,,,,,,
Exam  ,2,2018,30Q258,MXRNE ,CC ALGEBRA II REG JU,71, ,71,0,0,0,,,,,,,,,
Exam  ,2,2018,30Q258,SXRPE ,PHYSICS REG JUN,54,*,54,0,0,0,,0,0,0,,,,,
Exam  ,2,2017,30Q258,HXRTE ,GLOBAL TRNS REG JUN,90,*,90,0,0,0,,,,,,,,,
Exam  ,2,2017,30Q258,MXRKE ,CC GEOMETRY REG JUN,73, ,73,0,0,0,,,,,,,,,
Exam  ,2,2017,30Q258,SXRXE ,CHEMISTRY R JUNE,75, ,75,0,0,0,,0,0,0,,,,,
Exam  ,1,2017,30Q258,EXRCR ,CC ELA REG JAN,84, ,84,0,0,0,,0,0,0,,,,,
Exam  ,2,2016,30Q258,MXRCE ,CC ALGEBRA I REG JUN,78, ,78,0,0,0,,,,,,,,,
Exam  ,2,2016,30Q258,SXRKE ,LIVENVIR R JUNE,75, ,75,0,0,0,,0,0,0,214629081,50.5,50.5,91.39207921,50.5
Course,2,2018,30Q258,FSS65X,AP Spanish Language ,75, ,75,1,0,1,,,,,,,,,
Course,2,2018,30Q258,FSS66X,AP Spanish Language ,75, ,75,1,0,1,,,,,,,,,
Course,2,2018,30Q258,HVS11,PART IN GOVT,86, ,86,1,0,1,,,,,,,,,
Course,2,2018,30Q258,MPS22,Pre-Calculus 2 of 2,76, ,76,1,0,1,,,,,,,,,
Course,2,2018,30Q258,PPS88,PHYS ED,100, ,100,0.5,0,0.5,,,,,,,,,
Course,2,2018,30Q258,RQS44T,CDOS Career Studies ,65, ,65,0.5,0,0.5,,,,,,,,,
Course,2,2018,30Q258,SPS22,PHYSICS  2 OF 2,88, ,88,1,0,1,,,,,,,,,
Course,2,2018,30Q258,SPS22QL,PHYSICS LAB 2 OF 2,P,*,,0,0,0,80.41666667,6,6,6,,,,,
Course,1,2018,30Q258,EWS11U,ENG 259 Technical Wr,C, ,75,1,0,1,,,,,,,,,
Course,1,2018,30Q258,FSS63X**,AP Spanish Language ,81, ,81,1,0,1,,,,,,,,,
Course,1,2018,30Q258,FSS64X**,AP Spanish Language ,81, ,81,1,0,1,,,,,,,,,
Course,1,2018,30Q258,HES11,ECONOMICS,80, ,80,1,0,1,,,,,,,,,
Course,1,2018,30Q258,MQS11S,MAT 115 Skills Lab,P,*,,0,0,0,,,,,,,,,
Course,1,2018,30Q258,MQS11U**,MAT 115 - College Al,D-, ,60,1,0,0,,,,,,,,,
Course,1,2018,30Q258,PPS87,PHYS ED,94, ,94,0.5,0,0.5,,,,,,,,,
Course,1,2018,30Q258,RQS43T,CDOS Career Studies ,84, ,84,0.5,0,0.5,,,,,,,,,
Course,1,2018,30Q258,SDS21QJ,SCIENCE RESEARCH 1 O,84, ,84,1,0,1,,,,,,,,,
Course,1,2018,30Q258,SPS21,PHYSICS  1 OF 2,91, ,91,1,0,1,,,,,,,,,
Course,1,2018,30Q258,SPS21QL,PHYSICS  LAB 1 OF 2,P,*,,0,0,0,82.9,8,7,8,,,,,
Course,2,2017,30Q258,ALS11,Advanced Art Portfol,80, ,80,1,0,1,,,,,,,,,
Course,2,2017,30Q258,EES88U,ENG 101 - English 12,C+, ,78,1,0,1,,,,,,,,,
Course,2,2017,30Q258,FSS62QA,Heritage Spanish 2,77, ,77,1,0,1,,,,,,,,,
Course,2,2017,30Q258,HUS22,US HISTORY 2 OF 2,78, ,78,1,0,1,,,,,,,,,
Course,2,2017,30Q258,MRS22,CC Algebra II 2 of 2,76, ,76,1,0,1,,,,,,,,,
Course,2,2017,30Q258,PPS86,PHYS ED,98, ,98,0.5,0,0.5,,,,,,,,,
Course,2,2017,30Q258,RQS42T,College and Career F,55, ,55,0.5,0,0,,,,,,,,,
Course,2,2017,30Q258,SPS22QC,Practical Physics 2 ,96, ,96,1,0,1,,,,,,,,,
Course,2,2017,30Q258,SPS22QLC,Practical Physics La,P,*,,0,0,0,80.21428571,7,6.5,7,,,,,
Course,1,2017,30Q258,CGS21,Intro to Theater,96, ,96,1,0,1,,,,,,,,,
Course,1,2017,30Q258,EES87,ENGLISH 12 1 OF 2,80, ,80,1,0,1,,,,,,,,,
Course,1,2017,30Q258,FSS61QA,Heritage Spanish 1,73, ,73,1,0,1,,,,,,,,,
Course,1,2017,30Q258,HUS21,US HISTORY 1 OF 2,81, ,81,1,0,1,,,,,,,,,
Course,1,2017,30Q258,MRS21,CC Algebra II 1 of 2,72, ,72,1,0,1,,,,,,,,,
Course,1,2017,30Q258,PPS85,PHYS ED,98, ,98,0.5,0,0.5,,,,,,,,,
Course,1,2017,30Q258,RQS41T,College and Career F,82, ,82,0.5,0,0.5,,,,,,,,,
Course,1,2017,30Q258,SPS21QC,Practical Physics 1 ,97, ,97,1,0,1,,,,,,,,,
Course,1,2017,30Q258,SPS21QLC,Practical Physics La,P,*,,0,0,0,,,,,,,,,
Course,1,2017,30Q258,TCS11U,MAE100 Intro to Auto,A, ,95,1,0,1,,,,,,,,,
Course,1,2017,30Q258,TQS11U,MAE109 Intro to Engi,A-, ,93,1,0,1,86.33333333,9,9,9,,,,,
Course,2,2016,30Q258,EES86,ENGLISH 11 2 OF 2,75, ,75,1,0,1,,,,,,,,,
Course,2,2016,30Q258,HBS11U**,HUP 102 - Critical T,A-, ,93,0.5,0,0.5,,,,,,,,,
Course,2,2016,30Q258,HGS43,GLOBAL STUDIES 10 1 ,80, ,80,1,0,1,,,,,,,,,
Course,2,2016,30Q258,HGS44,GLOBAL STUDIES 10 2 ,80, ,80,1,0,1,,,,,,,,,
Course,2,2016,30Q258,MGS22,CC Geometry 2 of 2,81, ,81,1,0,1,,,,,,,,,
Course,2,2016,30Q258,PPS84,PHYS ED,96, ,96,0.5,0,0.5,,,,,,,,,
